Ad clicked Date,Ad Title/Id
2024/07/15 09:03:28 UTC,169845186
2024/11/19 10:29:46 UTC,366562776
2025/01/03 11:29:25 UTC,593982496
2024/07/15 09:03:43 UTC,169845186
2025/01/12 16:29:06 UTC,166842896
2024/07/25 08:01:53 UTC,454098826
2025/02/03 12:28:28 UTC,145111864
2024/08/04 16:41:25 UTC,396377203
2024/08/14 11:19:01 UTC,448556394
2024/08/14 11:19:04 UTC,448556394
2024/07/15 09:03:28 UTC,169845186
2024/11/19 10:29:46 UTC,366562776
2025/01/03 11:29:25 UTC,593982496
2024/07/15 09:03:43 UTC,169845186
2025/01/12 16:29:06 UTC,166842896
2024/07/25 08:01:53 UTC,454098826
2025/02/03 12:28:28 UTC,145111864
2024/08/04 16:41:25 UTC,396377203
2024/08/14 11:19:01 UTC,448556394
2024/08/14 11:19:04 UTC,448556394
2024/07/15 09:03:28 UTC,169845186
2024/11/19 10:29:46 UTC,366562776
2025/01/03 11:29:25 UTC,593982496
2024/07/15 09:03:43 UTC,169845186
2025/01/12 16:29:06 UTC,166842896
2024/07/25 08:01:53 UTC,454098826
2025/02/03 12:28:28 UTC,145111864
2024/08/04 16:41:25 UTC,396377203
2024/08/14 11:19:01 UTC,448556394
2024/08/14 11:19:04 UTC,448556394
2024/07/15 09:03:28 UTC,169845186
2024/11/19 10:29:46 UTC,366562776
2025/01/03 11:29:25 UTC,593982496
2024/07/15 09:03:43 UTC,169845186
2025/01/12 16:29:06 UTC,166842896
2024/07/25 08:01:53 UTC,454098826
2025/02/03 12:28:28 UTC,145111864
2024/08/04 16:41:25 UTC,396377203
2024/08/14 11:19:01 UTC,448556394
2024/08/14 11:19:04 UTC,448556394
2024/07/15 09:03:28 UTC,169845186
2024/11/19 10:29:46 UTC,366562776
2025/01/03 11:29:25 UTC,593982496
2024/07/15 09:03:43 UTC,169845186
2025/01/12 16:29:06 UTC,166842896
2024/07/25 08:01:53 UTC,454098826
2025/02/03 12:28:28 UTC,145111864
2024/08/04 16:41:25 UTC,396377203
2024/08/14 11:19:01 UTC,448556394
2024/08/14 11:19:04 UTC,448556394
2024/07/15 09:03:28 UTC,169845186
2024/11/19 10:29:46 UTC,366562776
2025/01/03 11:29:25 UTC,593982496
2024/07/15 09:03:43 UTC,169845186
2025/01/12 16:29:06 UTC,166842896
2024/07/25 08:01:53 UTC,454098826
2025/02/03 12:28:28 UTC,145111864
2024/08/04 16:41:25 UTC,396377203
2024/08/14 11:19:01 UTC,448556394
2024/08/14 11:19:04 UTC,448556394
2024/07/15 09:03:28 UTC,169845186
2024/11/19 10:29:46 UTC,366562776
2025/01/03 11:29:25 UTC,593982496
2024/07/15 09:03:43 UTC,169845186
2025/01/12 16:29:06 UTC,166842896
2024/07/25 08:01:53 UTC,454098826
2025/02/03 12:28:28 UTC,145111864
2024/08/04 16:41:25 UTC,396377203
2024/08/14 11:19:01 UTC,448556394
2024/08/14 11:19:04 UTC,448556394
2024/07/15 09:03:28 UTC,169845186
2024/11/19 10:29:46 UTC,366562776
2025/01/03 11:29:25 UTC,593982496
2024/07/15 09:03:43 UTC,169845186
2025/01/12 16:29:06 UTC,166842896
2024/07/25 08:01:53 UTC,454098826
2025/02/03 12:28:28 UTC,145111864
2024/08/04 16:41:25 UTC,396377203
2024/08/14 11:19:01 UTC,448556394
2024/08/14 11:19:04 UTC,448556394
2024/07/15 09:03:28 UTC,169845186
2024/11/19 10:29:46 UTC,366562776
2025/01/03 11:29:25 UTC,593982496
2024/07/15 09:03:43 UTC,169845186
2025/01/12 16:29:06 UTC,166842896
2024/07/25 08:01:53 UTC,454098826
2025/02/03 12:28:28 UTC,145111864
2024/08/04 16:41:25 UTC,396377203
2024/08/14 11:19:01 UTC,448556394
2024/08/14 11:19:04 UTC,448556394
2024/07/15 09:03:28 UTC,169845186
2024/11/19 10:29:46 UTC,366562776
2025/01/03 11:29:25 UTC,593982496
2024/07/15 09:03:43 UTC,169845186
2025/01/12 16:29:06 UTC,166842896
2024/07/25 08:01:53 UTC,454098826
2025/02/03 12:28:28 UTC,145111864
2024/08/04 16:41:25 UTC,396377203
2024/08/14 11:19:01 UTC,448556394
2024/08/14 11:19:04 UTC,448556394
2024/07/15 09:03:28 UTC,169845186
2024/11/19 10:29:46 UTC,366562776
2025/01/03 11:29:25 UTC,593982496
2024/07/15 09:03:43 UTC,169845186
2025/01/12 16:29:06 UTC,166842896
2024/07/25 08:01:53 UTC,454098826
2025/02/03 12:28:28 UTC,145111864
2024/08/04 16:41:25 UTC,396377203
2024/08/14 11:19:01 UTC,448556394
2024/08/14 11:19:04 UTC,448556394
2024/07/15 09:03:28 UTC,169845186
2024/11/19 10:29:46 UTC,366562776
2025/01/03 11:29:25 UTC,593982496
2024/07/15 09:03:43 UTC,169845186
2025/01/12 16:29:06 UTC,166842896
2024/07/25 08:01:53 UTC,454098826
2025/02/03 12:28:28 UTC,145111864
2024/08/04 16:41:25 UTC,396377203
2024/08/14 11:19:01 UTC,448556394
2024/08/14 11:19:04 UTC,448556394
2024/07/15 09:03:28 UTC,169845186
2024/11/19 10:29:46 UTC,366562776
2025/01/03 11:29:25 UTC,593982496
2024/07/15 09:03:43 UTC,169845186
2025/01/12 16:29:06 UTC,166842896
2024/07/25 08:01:53 UTC,454098826
2025/02/03 12:28:28 UTC,145111864
2024/08/04 16:41:25 UTC,396377203
2024/08/14 11:19:01 UTC,448556394
2024/08/14 11:19:04 UTC,448556394
2024/07/15 09:03:28 UTC,169845186
2024/11/19 10:29:46 UTC,366562776
2025/01/03 11:29:25 UTC,593982496
